category,name,description,detail_url
academic,"Academic, Mentorship, and Professional Development Project","AMPD provides MSA UCLA members services and resources to become stronger Muslim leaders in the academic and professional spheres through free textbook loans and study notes, peer and alumni mentorships, pre-professional workshops and internships. Our peer mentorship program pairs incoming students with the upperclassmen and guides them through the Muslim college student experience. Students are further guided towards the profession they are interested in through internships, pre-professional workshops and an annual networking event.",https://community.ucla.edu/studentorg/3176
academic,Academy Health Student Chapter at UCLA,"In partnership with the health services research community, we strive to:

Provide peer support by: 
- Creating opportunities for interaction among peers
- Reaching out and connecting with other departments and academic groups sharing common interests and goals
- Offering peer mentorship

Promote academic and professional development by:
- Exposing members to the field of Health Services 
- Helping students disseminate their research 
- Increasing interaction and facilitating dialogue with health services researchers
- Advocating for training, mentorship and post-graduate placement

Advance the field of Health Services by:
- Encouraging interdisciplinary collaboration
- Incorporating new research tools
- Advocating innovative areas of contribution from student researchers",https://community.ucla.edu/studentorg/997
academic,AI Robotics Ethics Society,"As technology advances at an exponential rate, it is imperative that we begin thinking about how Artificial Intelligence (AI) will impact society at different levels of daily life, with a focus on the ethical implications and implementation of AI systems.

Notably, the development and involvement in AI ethics by students and professionals is nascent. The foresight of how important it is to regulate AI through the lens of ethical discussion and implementation is of paramount significance within the setting of the rapid development of AI and how it has already permeated of our daily lives.

As such, the AI Robotics Ethics Society was founded in 2018 at UCLA by Aaron Hui to promote the awareness and importance of ethical implementation/regulation of AI. AIRES achieves its mission of ensuring AI is created both ethically and responsibly through a three-pronged approach:

1. To host a series of intra- and inter-departmental discussions at universities on AI and Robotics ethics.

2. To create a network and promote such awareness through hosting discussions and conferences with chapters of the AI Robotics Ethics Society.  

3. To create a small lecture series on the latest breakthroughs and achievements in AI and Robotic ethics.",https://community.ucla.edu/studentorg/3936
academic,al-Arabiyya,"At al-Arabiyya, we believe in the infinite creativity of language, echoing Noam Chomsky’s insight: “Language is a process of free creation; its laws and principles are fixed, but the manner in which the principles of generation are used is free and infinitely varied.” Our mission is to cultivate this freedom and creativity through the Arabic language, offering a vibrant space where students can explore its depth and beauty.

Our organization nurtures language growth, helping members build fluency through engaging activities like weekly conversation circles. We celebrate cultural diversity, showcasing the rich traditions, dialects, and arts of the Arab world. Through creative expression, we host poetry readings, storytelling, and calligraphy workshops, encouraging members to connect with Arabic’s artistic heritage. We also delve into historical roots, exploring how periods like the pre-Islam, Umayyad, and Abbasid era shaped the language and its literature.

Activities include cultural events, literary evenings, interactive workshops, and guest lectures by scholars and artists. Together, we create a supportive community where the Arabic language and its cultural legacy can thrive.
al-Arabiyya is simply a space where the Arabic language and culture bloom together.",https://community.ucla.edu/studentorg/6350
academic,Aleph: Undergraduate Research Journal for the Humanities and Social Sciences,"Aleph (pronounced “ah-lef”) is UCLA’s only official journal publishing undergraduate research in the humanities, social sciences, and behavioral sciences. Run by undergraduates who review submissions, Aleph publishes select submissions on-line, and in an annual “best of” print journal, with the support of our sponsor, the UCLA Undergraduate Research Center. Our goal is to disseminate a diverse group of papers that reflects the quality and breadth of undergraduate research at UCLA. Aleph offers an opportunity for motivated UCLA undergraduates to have their academic work published online and in print. By making UCLA’s undergraduate research available to a larger audience, we hope to broaden the impact and appeal of undergraduate research. As a student-run journal, Aleph provides all UCLA undergraduates the chance to join its staff and gain volunteer experience in publicizing, editing, and publishing.",https://community.ucla.edu/studentorg/3145
academic,"Alpha Chi Sigma, Beta Gamma Chapter","We are a professional and social fraternity for men and women in the chemical sciences. All members are bound by three fraternal objects:

To bind its members with a tie of true and lasting friendship.
To strive for the advancement of chemistry both as a science and as a profession.
To aid its members by every honorable means in the attainment of their ambitions as chemists throughout their mortal lives.

We are a very active chapter at the University of California, Los Angeles partaking in various academic, philanthropic, and social events. We encourage all students interested in science (not just in the field of chemistry) to explore what our fraternity has to offer and consider pledging Alpha Chi Sigma.",https://community.ucla.edu/studentorg/3971
academic,Alpha Lambda Delta Phi Eta Sigma,"The ALD|PES Honor Societies exist to promote academic integrity, excellence and community among students. Furthermore, ALD|PES strives to encourage community service and support philanthropic events and groups. Members of ALD|PES strive to foster social connections amongst purpose driven students who desire academic and professional excellence.",https://community.ucla.edu/studentorg/223
academic,American Academy of Medicine and Surgery at UCLA,"This undergraduate organization is a club aimed for pre-med/health undergrads interested in gaining exposure to the field of medicine and surgery. The Mission of the American Academy of Medicine & Surgery (AAMS) is to provide students considering careers in science, medicine, and/or healthcare with the space and opportunity to delve deeper and more intensely in their passions. Guided by physicians, surgeons, and scientists, students are educated in basic and advanced cardiovascular anatomy and physiology, as well as surgical techniques that will be utilized in premedical studies and medical schools and residency training. Through this organization, students are guaranteed to leave with not only a deeper and more sophisticated understanding of general anatomy and physiology (and in particular, that of the cardiovascular system), but also tangible skills and techniques in surgery. Our goals are for members to: 1. Learn more about the vast fields of medicine and focus on their interests 2. Learn from current medical professionals and med students in various specialties 3. Engage with the field through shadowing opportunities and connect with surgeons in interested specialties.",https://community.ucla.edu/studentorg/5858
academic,American Institute of Chemical Engineers,"The American Institute of Chemical Engineers (AIChE) is a professional organization for chemical engineers. AIChE was established in 1908 with the purpose of establishing chemical engineers as a profession independent from chemists and mechanical engineers.

The mission of the AIChE student chapter at UCLA is to promote excellence in the Chemical Engineering Department of the School of Engineering and Applied Science by providing resources and support to the undergraduate students so that they can succeed academically and advance professionally.

AIChE's vision is to provide value as the global leader of the chemical engineering profession and be the lifetime center for professional and personal growth.

In 1908 a small group of chemical engineers formed a professional society to promote and improve chemical engineering as a discipline. At first, the American Institute of Chemical Engineers (AIChE) met with strong resistance, especially from the American Chemical Society (ACS), which claimed control over all pure and applied chemistry in the United States. In response, AIChE adopted a number of conservative measures, including strict membership criteria to keep membership low and avoid competition with ACS. Nonetheless, the value of AIChE was realized by the entire discipline in 1925, when chemical engineering became the first profession to use scholastic accreditation to ensure the consistency and quality of academic chemical engineering courses. The conservative attitude paid off when peace was made between ACS and AIChE around 1930. The membership criteria were lifted and chemical engineers joined in droves.

Today AIChE remains the principal chemical engineering professional society in the United States. Currently about 57,000 (~70%) of American chemical engineers are members.",https://community.ucla.edu/studentorg/1475
academic,American Medical Student Association (AMSA),"The American Medical Student Association, Premedical Chapter at UCLA, is committed to improving health care and healthcare delivery to all people; involving its members in the social, moral and ethical obligations of the profession of medicine; assisting in the improvement and understanding of world health problems; actively supplementing premedical education with a broader perspective and understanding of their chosen profession; contributing to the welfare of premedical students; and empowering the physician leaders of tomorrow.",https://community.ucla.edu/studentorg/1170
